latitude	longitude	name	display_name
52.39282115	4.929175602231245	Buiksloot	Tuindorp Buiksloot, Noord, Amsterdam, Noord-Holland, Nederland
53.3670541	7.2058304	Emden	Emden, Niedersachsen, Deutschland
53.2005936	5.7918548	Ljouwert	Leeuwarden, Fryslân, Nederland
51.8937356	5.0924352	Leerdam	Leerdam, Vijfheerenlanden, Utrecht, Nederland
50.3730005	2.0366141	Heusden	Hesdin, Montreuil-sur-Mer, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62140, France
51.9259281	4.5082547	Kralingen	Kralingen-Crooswijk, Rotterdam, Zuid-Holland, Nederland
51.833921	4.1436739	Hellevoetsluis	Hellevoetsluis, Voorne aan Zee, Zuid-Holland, Nederland
53.005975750000005	6.08027520472506	Loevestein	Loevestein, Gorredijk, Opsterland, Fryslân, Nederland
51.1418327	3.8477989	Bommel	Bommel, Zaffelare, Lochristi, Gent, Oost-Vlaanderen, België / Belgique / Belgien
52.3301851	5.0692658	Muiden	Muiden, Gooise Meren, Noord-Holland, Nederland
51.5074456	-0.1277653	Londen	London, Greater London, England, United Kingdom
51.4893335	-0.14405508452768728	Londres	London, Greater London, England, United Kingdom
50.6832181	8.3031361	Herborn	Herborn, Lahn-Dill-Kreis, Hessen, 35745, Deutschland
49.4404591	1.0939658	Rouen	Rouen, Seine-Maritime, Normandie, France métropolitaine, France
50.6407001	8.1058112	Homberg	Homberg, Rennerod, Westerwaldkreis, Rheinland-Pfalz, Deutschland
50.3675677	3.0804641	Douai	Douai, Nord, Hauts-de-France, France métropolitaine, 59500, France
48.8534951	2.3483915	Paris	Paris, Île-de-France, France métropolitaine, France
48.8534951	2.3483915	Parijs	Paris, Île-de-France, France métropolitaine, France
52.307621600000004	-8.570897272891862	Münster	Deutschland
48.584614	7.7507127	Strasbourg	Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France
45.7578137	4.8320114	Lyon	Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France
52.1131403	4.6408411999450685	Alphen aan den Rijn	Alphen aan den Rijn, Zuid-Holland, Nederland
46.2017559	6.1466014	Genève	Genève, 1204, Schweiz/Suisse/Svizzera/Svizra
51.6576909	6.617087	Wesel	Wesel, Kreis Wesel, Nordrhein-Westfalen, Deutschland
51.8322137	6.2428283	Emmerich	Emmerich am Rhein, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland
51.8322137	6.2428283	Emmerik	Emmerich am Rhein, Kreis Kleve, Nordrhein-Westfalen, 46446, Deutschland
50.8550018	4.3512333761166175	Brussel	Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien
41.8933203	12.4829321	Roma	Roma, Roma Capitale, Lazio, Italia
47.5581077	7.5878261	Basel	Basel, Basel-Stadt, Schweiz/Suisse/Svizzera/Svizra
50.1106444	8.6820917	Frankfurt am Main	Frankfurt am Main, Hessen, Deutschland
55.9533456	-3.1883749	Edinburgh	City of Edinburgh, Alba / Scotland, United Kingdom
52.6285576	1.2923954	Norwich	Norwich, Norfolk, England, United Kingdom
48.8581	2.43673	Place unknown	unknown, Place Jacques Duclos, Bobillot, Montreuil, Bobigny, Seine-Saint-Denis, Île-de-France, France métropolitaine, 93100, France
50.1106444	8.6820917	Frankfurt	Frankfurt am Main, Hessen, Deutschland
50.1106444	8.6820917	Frankfort	Frankfurt am Main, Hessen, Deutschland
40.8358846	14.2487679	Napoli	Napoli, Campania, Italia
